upc,item,brand,segment,flavor,pack_type,total_sales,total_units,weeks_observed,promo_weeks,avg_aup,promo_week_pct
60888300006,ETRN NEW ZLND NTRL ALKL ARTS WTR BTL 67.6 FL OZ,ETERNAL (ETERNAL SPRING MINERAL WATER LTD),SUW,UNFLAVORED,SINGLE PACK,2014241.517111551,514821.8189229232,60,23,3.9240791956022183,0.38333333333333336
78616200151,GLC SMR WTR PRLY BLNC PH ELCT TST DSTL BTL 23.7 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,SINGLE PACK,2013389.63027468,873560.949076767,60,11,2.310332918411252,0.18333333333333332
78616200354,GLC VTM WTR AC BLBR PMGR NTRN ENHN BVRG BTL 6PK 16.9 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,ACAI BLUEBERRY POMEGRANATE,MULTI PACK,1946972.2775404558,284640.12665189867,60,8,6.8426604625647105,0.13333333333333333
7114233416,ARWH MNTN SPRN WTR JUG 101.4 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,SINGLE PACK,1942167.2937096467,1003859.8356740501,60,29,1.937925333006739,0.48333333333333334
7514006502,CRYS GYS ALPN SPRN WTR BTL 6PK 16.9 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SUW,UNFLAVORED,MULTI PACK,1856809.0570977738,1015288.896923318,60,17,1.8416612679160707,0.2833333333333333
63256500003,FJ YQR VT LEVU EART FNST ARTS WTR BTL 50.56 FL OZ,FIJI (NATURAL WATERS OF VITI LIMITED),SUW,UNFLAVORED,SINGLE PACK,1808322.1509484872,579018.842714617,60,25,3.1360223917929795,0.4166666666666667
200058990428,CTL BR SPRN WTR BTL 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1775319.4831277698,1273935.1695291544,60,3,1.3936729699121417,0.05
200079366791,CTL BR DRNK WTR BTL 40PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1771927.3757427165,331730.47219571576,60,15,5.38554309659511,0.25
7114200052,ARWH MNTN SPRN WTR JUG 128 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,SINGLE PACK,1695076.6486652626,662124.1877780387,60,28,2.56179064438139,0.4666666666666667
63256500010,FJ YQR VT LEVU EART FNST ARTS WTR BTL 6PK 33.8 FL OZ,FIJI (NATURAL WATERS OF VITI LIMITED),SUW,UNFLAVORED,MULTI PACK,1694901.187039301,121414.82963018536,60,26,13.990559488929165,0.43333333333333335
200027673981,CTL BR MNCP SPLY DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1669088.7634842854,446971.44550622266,60,1,3.725293845545247,0.016666666666666666
200027707170,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1654999.522584044,463870.974185954,24,2,3.5683621390350506,0.08333333333333333
200030260577,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1651711.8946203424,571099.072587464,60,0,2.9033610776769456,0.0
78616200355,GLC VTM WTR DRGN PLS OTHR NTRL FLVR ELCT NTRN ENHN BVRG BTL 6PK 16.9 FL OZ,"GLACEAU VITAMIN WATER (ENERGY BRANDS, INC.)",SFW,DRAGONFRUIT,MULTI PACK,1599857.7367082767,235447.8756473468,52,9,6.7983790776125925,0.17307692307692307
200028303408,CTL BR DRNK WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1553873.452339088,1168595.8025442006,60,4,1.3303711532155937,0.06666666666666667
200027442072,CTL BR DRNK WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1481910.5879423313,1033291.8643474759,60,11,1.4320357377126414,0.18333333333333332
200054827612,CTL BR DRNK WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1476687.5441141205,1175138.2545813771,60,0,1.2617254334737948,0.0
7114200948,ARWH MNTN SPRN WTR BTL 12PK 8 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,1438399.39162526,456803.82723666064,60,31,3.1559710253074433,0.5166666666666667
200030763964,CTL BR DRNK WTR BTL 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1430613.41833928,1148920.8904646793,60,0,1.2451672864669898,0.0
200027723510,CTL BR DSTL WTR JUG 128 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,SINGLE PACK,1356029.7518728347,923418.6664665123,60,13,1.4679471545248584,0.21666666666666667
7514060021,CRYS GYS ALPN SPRN WTR BTL 60PK 8 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SUW,UNFLAVORED,MULTI PACK,1343733.2706623762,98474.95699972533,60,9,13.676042173382355,0.15
78616250700,GLC SMR WTR PRLY BLNC PH ELCT TST DSTL BTL 50.7 FL OZ,"GLACEAU SMART WATER (ENERGY BRANDS, INC.)",SUW,UNFLAVORED,SINGLE PACK,1336956.8600270506,418347.26222688344,60,7,3.1984734589992154,0.11666666666666667
7514012514,CRYS GYS ALPN SPRN WTR BTL 6PK 128 FL OZ,CRYSTAL GEYSER (CG ROXANE LLC),SUW,UNFLAVORED,MULTI PACK,1335193.996522883,199564.63448619063,60,7,6.687443934109081,0.11666666666666667
200027707781,CTL BR DRNK WTR BTL 24PK 16.9 FL OZ,PRIVATE LABEL,SUW,UNFLAVORED,MULTI PACK,1333996.0127055738,366387.4530959873,60,15,3.682090955517521,0.25
7929800019,EVN CCHT FRNC NTRL ELCT MD BY FRNC ALPS 7.2 PH BLNC SPRN WTR BTL 6PK 16.9 FL OZ,EVIAN (EVIAN WATERS OF FRANCE INC),SUW,UNFLAVORED,MULTI PACK,1333629.935697897,160380.91300992976,60,32,8.328338482562987,0.5333333333333333
7114281777,ARWH MNTN SPRN WTR BTL 12PK 12 FL OZ,ARROWHEAD (PRIMO BRANDS CORPORATION),SUW,UNFLAVORED,MULTI PACK,1314161.5406743167,330043.0663525342,60,43,4.044083056264585,0.7166666666666667
